問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解,科目分類,リンクURL
口腔ジスキネジアの患者でみられるのはどれか。2つ選べ。[119D49-ori],溝状舌,開口障害,義歯の動揺,口腔粘膜損傷,口腔苔癬様病変癬,34,口腔外科学一般,https://drive.google.com/file/d/1CV95uW6YVmptGXLB_Oj_CUMqQeAW7PCV/view?usp=drive_link
"25歳の女性。口元の突出を主訴として来院した。Arch length discrepancyは上顎-7.0mm、下顎-5.0 mmであった。検査の結果、外科的矯正治療を行うこととした。6⏌は保存不可能なため抜去し、そのスペースは歯科矯正用アンカースクリューを固定として閉鎖することとした。初診時の顔面写真(A)、口腔内写真(B)、及びエックス線画像(C)を示す。セファロ 分析の結果を図に示す。
抜歯部位と手術方法の組合せで正しいのはどれか。1つ選べ。[119D50-ori]",,,,,,e,歯科矯正学臨床実地,https://drive.google.com/file/d/1QBqUcbu92Jhiqa8GkxYkSSO4PbJ3ftxC/view?usp=drive_link
"75歳の女性。下顎左側大臼歯部の腫脹を主訴として来院した。半年前から自覚していたが、疼痛がないためそのままにしていたという。粘膜の色に異常は認めない。既往歴として15年前に乳癌の治療を受け、現在は経過観察中である。初診時のエックス線画像(A)とCT(B)を示す。
最も疑われるのはどれか。1つ選べ。[119D51-ori]",歯根囊胞,顎骨骨髄炎,単純性骨囊胞,歯原性角化囊胞,乳癌の顎骨転移,d,口腔外科学臨床実地,https://drive.google.com/file/d/1vSPNVipvc1Y22RC24dDU3oAViqtlCbvG/view?usp=drive_link
"CFIの計算式を示す。
アに該当するのはどれか。1つ選べ。[119D52-ori]",健全歯数,被験歯数,被験者数,DMF 歯数,被験歯面数,c,衛生学一般,https://drive.google.com/file/d/1wMRhEGHReRkIsEDjt1KIHXGzW4i67aeV/view?usp=drive_link
神経筋接合部のシナプス伝達異常によって生じるのはどれか。1つ選べ。[119D53-ori],Parkinson病,重症筋無力症,多発性硬化症,筋ジストロフィー,筋萎縮性側索硬化症,b,生理学一般,
成長板軟骨において、軟骨細胞の肥大化に伴って分泌が進するコラーゲンはどれか。1つ選べ。[119D54-ori], I 型,Ⅱ 型,Ⅳ 型,Ⅴ型,Ⅹ型,b,生化学一般,
"79歳の女性。食事に時間がかかることを主訴として来院した。以前から食べ終わるのが家族よりも遅いことを自覚していたが、半年前から顕著になったという。
初診時の口腔内写真を示す。口腔機能検査の結果を表に示す。
主訴を改善するために行うのはどれか。2つ選べ。[119D55-ori]",咬合調整,舌の清掃,舌の筋力訓練,唾液腺マッサージ,舌接触補助床の装着,35,衛生学臨床実地,https://drive.google.com/file/d/109UIVrRVavmkSuaQYjUpkOCxSq3wCsGE/view?usp=drive_link
"マルチブラケット装置で前歯を牽引している口腔内写真を示す。
矢印の間の上顎切歯にみられる移動様式と矯正力の作用様式の組合せで正しいのはどれか。1つ選べ。[119D56-ori]",挺出　ー　持続的,傾斜移動　ー　間歇的,傾斜移動　ー　断続的,歯体移動　ー　持続的,歯体移動　ー　断続的,d,歯科矯正学一般,https://drive.google.com/file/d/1Q8W6lp2sXXyF69qjRqKt_JOkA6NJn-Cq/view?usp=drive_link
" 85歳の女性。定期健診のために家族とともに来院した。7年前に認知症の診断を受けて、認知症高齢者の日常生活自立度はⅢである。3年前に誤嚥性肺炎を発症して以降たびたび発熱を繰り返しており、2年前からミキサー食を全介助にて摂取している。76543⏊34567は欠損しているが、義歯の製作は希望していな い。来院時の口腔内写真を示す。
まず実施するのはどれか。1つ選べ。[119D57-ori]",栄養評価,口腔衛生管理,咀嚼機能評価,認知機能評価,嚥下障害のスクリーニング,b,衛生学臨床実地,https://drive.google.com/file/d/1CFPR0y39gL3HsSpWyezs2W-8tuzZ47Ae/view?usp=drive_link
エナメル芽細胞に由来するのはどれか。1つ選べ。[119D58-ori],歯小皮,獲得被膜,エナメル紡錘,Sharpey 線維,von Korff の線維,a,解剖組織学一般,
診断用ワックスアップから得られる情報はどれか。3つ選べ。[119D59-ori],歯質削除量,側方顆路角,クレンチングの状態,補綴前処置の必要性,ポンティック基底面形態,145,冠橋義歯学一般,https://drive.google.com/file/d/13TA4U0dssyaWoukC9BzzWcXIPoKjyCjM/view?usp=drive_link
安全域を設けて切除するのはどれか。2つ選べ。[119D60-ori],外骨症,紅板症,多形腺腫,類皮囊胞,線維性異形成症,23,口腔外科学一般,https://drive.google.com/file/d/1gFy7Ar-p5OWh8FtCf4QvwN4z1oN9jg7I/view?usp=drive_link
"51歳の女性。上顎右側臼歯部のブラッシング時の出血を主訴として来院した。10か月前から自覚していたがそのままにしていたという。検査の結果、慢性歯周炎と診断し、歯周基本治療後に歯周外科治療を行うこととした。再評価時の口腔内写真(A、B)とエックス線画像(C)を示す。再評価時の歯周組織検査の一部を表に示す。
7 6⏌に対する適切な治療法はどれか。 2つ選べ。[119D61-ori]",新付着術,歯肉切除術,歯肉剝離掻爬術,歯肉弁歯冠側移動術,エナメルマトリックスタンパク質の応用,35,歯周病学臨床実地,https://drive.google.com/file/d/1iZRqU0qmf4YEHjZ_QDrQ8vW0EeDbtjzD/view?usp=drive_link
先端巨大症の特徴として正しいのはどれか。3つ選べ。[119D62-ori],巨舌を認める。,上顎前突を呈する。,下顎空隙歯列弓を認める。,骨端線の早期閉鎖を認める。,成人期の成長ホルモンの過剰分泌によって発症する。,135,口腔外科学一般,https://drive.google.com/file/d/1GCS7sMTTnwUkgmVmu_COdEImhOKtv3hy/view?usp=drive_link
"上顎無歯顎患者の概形印象の写真を示す。
矢印部の形態に影響する筋はどれか。2つ選べ。[119D63-ori]",頰筋,咬筋,側頭筋,口蓋帆張筋,中咽頭収縮筋,13,全部床義歯学一般,https://drive.google.com/file/d/1AgTSrUs4PdimOtdFqrUkZHBKt6n2xXod/view?usp=drive_link
顎口腔領域で微小血管吻合が必要なのはどれか。2つ選べ。[119D64-ori],DP皮弁,前額皮弁,前腕皮弁,大胸筋皮弁,腹直筋皮弁,35,口腔外科学一般,https://drive.google.com/file/d/1sB-W0iozUF1EGJRlbukWFeHNawPFOhoI/view?usp=drive_link
"87歳の男性。下顎部分床義歯が1週前から外れやすくなったことを主訴として来院した。義歯は2年前に製作し、問題なく使用していたという。診察の結果、 ピックアップ印象を採得し、義歯修理を行うこととした。初診時の口腔内写真(A)と義歯の写真(B)を示す。
印象採得から修理の過程で正しいのはどれか。2つ選べ。[119D65-ori]",増歯,咬合面再形成,間接法によるリライン,下顎左側側切歯の唇側維持腕の製作,患者の義歯を取り込んだ模型の製作,45,部分床義歯学臨床実地,https://drive.google.com/file/d/1FqzfSgUmTRixPmbn6x8_Ijrh4OVQRFQm/view?usp=drive_link
"22歳の男性。下顎右側第一大臼歯の舌感不良を主訴として来院した。検査の結果、フロアブルレジンを用いて修復を行うこととした。ラバーダム防湿後の口腔内写真を示す。
窩洞形態で留意すべきなのはどれか。1つ選べ。[119D66-ori]",審美的な外形,箱型の窩洞形態,ロングベベルの付与,フレアータイプの付与,遊離エナメル質の除去,d,保存修復学臨床実地,https://drive.google.com/file/d/16f8teqhTGyWcHkIC5PfU3K-BS1SjPBO_/view?usp=drive_link
"エナメル質表面処理後にコンポジットレジンを充塡した接着界面の走査電子顕微鏡像を示す。
矢印間の構造の機能で正しいのはどれか。2つ選べ。[119D67-ori]",汚染面の除去,ぬれ性の向上,辺縁漏洩の防止,スミヤ一層の除去,微細嵌合効力の発揮,35,歯科理工学一般,https://drive.google.com/file/d/18t63CjYIwC5d0tMLDDimsAxjKMa7mdF_/view?usp=drive_link
PHPについて正しいのはどれか。2つ選べ。[119D68-ori],代表歯を評価する。,歯垢の厚みを評価する。,歯面は3分割して評価する。,ブラッシング指導に活用する。,CPI(WHO)プローブで歯面を触知する。,14,衛生学一般,https://drive.google.com/file/d/195gYaDBENCWDPsNv1Vtj2XOb5E0jdjy0/view?usp=drive_link
"42歳の男性。咀嚼困難を主訴として来院した。診察の結果、下顎右側臼歯部にインプラント義歯を製作することとし、2回法でインプラントの埋入を行った。 ヒーリングアバットメント撤去後の口腔内写真を示す。
この段階で決定するのはどれか。1つ選べ。[119D69-ori]",骨削除量,印象採得法,上部構造の材質,上部構造の連結方法,アバットメントの高さ,b,インプラント(補綴)臨床実地,https://drive.google.com/file/d/1xyL6qnKATzPlyfwHmQvCHj2JWKan_nJB/view?usp=drive_link
"58歳の男性。下顎右側臼歯部の歯肉腫脹を主訴として来院した。1か月前に下顎右側第一大臼歯の補綴装置が脱離したが、痛みがないためそのままにしていたという。検査の結果、近心根の歯根尖切除を行うこととした。初診時の口腔内写真 (A)、エックス線画像(B)、術中の口腔内写真(C)及び器具の写真(D)を示す。
Cの操作の次に使用する器具はどれか。1つ選べ。[119D70-ori]",ア,イ,ウ,エ,オ,c,歯内療法学臨床実地,https://drive.google.com/file/d/1usDQwu_RpOkOGvqgvJPjcaup68sejcHq/view?usp=drive_link
1歳6か月児健康診査の診査項目はどれか。3つ選べ。[119D71-ori],胸囲,座高,体重,頭囲,腹囲,,衛生学一般,https://drive.google.com/file/d/1XbPNvkbKYYf6-bL864IQMLJMj4z3mNO_/view?usp=drive_link
老化に伴う顎関節の形態変化によって生じるのはどれか。1つ選べ。[119D72-ori],咬合高径の低下,安静空隙量の減少,喉頭挙上量の減少,矢状顆路傾斜角の増加,下顎頭の運動範囲の増大,e,口腔外科学一般,
"81歳の男性。食事の際、義歯が外れやすくなったことを主訴として来院した。義歯は5年前に装着したが、徐々に義歯が動揺し、咬みにくくなったという。診察の結果、義歯を製作することとした。来院時の口腔内写真を示す。
上顎の筋圧形成後に使用できる印象材はどれか。2つ選べ。[119D73-ori]",石膏印象材,アクリル系印象材,酸化亜鉛ユージノール印象材,モデリングコンパウンド印象材,パテタイプシリコーンゴム印象材,13,全部床義歯学臨床実地,https://drive.google.com/file/d/1DUnnt06RS3OTy72kuOO8WuusWHZ3krg0/view?usp=drive_link
矯正歯科治療を開始するまでの流れのうち、3番目に行うのはどれか。1つ選ベ。[119D74-ori],診断,情報の分析,基礎情報の収集,治療目標の設定,治療方針・計画の立案,a,歯科矯正学一般,
"歯科用合金を用いた間接法修復物の模式図を示す。
負荷される外力に対して、矢印で示す形態の効果で正しいのはどれか。1つ選べ。[119D75-ori]",嵌合効力,拘止効力,把持効力,転覆防止効力,すべり防止効力,d,保存修復学一般,https://drive.google.com/file/d/1hIpPOOVJ6J7RPjSB2uDMJVnBH7iebkBK/view?usp=drive_link
"誤嚥性肺炎の既往がある82歳の男性に嚥下造影検査を行った。認知症高齢者の日常生活自立度はⅢである。現在、ミキサー食を全介助にて全量摂取しており、食事中に時々むせが認められているという。とろみをつけた液体を摂取した際の咽頭期の嚥下造影検査の写真(A、B、C、D)を示す。
肺炎予防のために推奨されるのはどれか。1つ選べ。[119D76-ori]",交互嚥下,胃瘻の造設,複数回嚥下,バルーン拡張訓練,食事時の体幹角度調整,e,衛生学臨床実地,https://drive.google.com/file/d/1bFJ5ZP73QMVuVR8qTwTFxFywv2umjyS1/view?usp=drive_link
小腸におけるグルコースの吸収に必要なのはどれか。1つ選べ。[119D77-ori],K⁺,CI⁻,Na⁺,Ca²⁺,HCO₃⁻,c,生理学一般,
" 7歳の女児。前歯の咬み合わせが悪いことを主訴として来院した。機能性下顎前突と診断し、リンガルアーチ装着までの予防的な管理としてスライディングプレー 卜を使用することとした。初診時の顔面写真(A)と口腔内写真(B)を示す。
防止できるのはどれか。3つ選べ。[119D78-ori]",過蓋咬合,舌突出癖,上顎前歯の舌側傾斜,下顎前歯部の歯肉退縮,上顎歯列正中線の偏位,134,歯科矯正学臨床実地,https://drive.google.com/file/d/129wJzS7j-DfxyoizHshv4UKsdV2Z8OnN/view?usp=drive_link
"フラップ手術に使用する器具の写真(A、B)を示す。一連の治療過程を以下に示す。
この器具を使用する治療過程はどれか。1つ選べ。[119D79-ori]",ア,イ,ウ,エ,オ,e,歯周病学一般,https://drive.google.com/file/d/1Hv8k_n7ZeRnkpH92rPnr5YXbTP7l0ByS/view?usp=drive_link
滅菌・消毒のSpaulding分類でセミクリティカルに該当する器具はどれか。3つ選べ。[119D80-ori],アーチフォーマー,バンドプッシャー,ワイヤーニッパー,ユーティリティープライヤー,セーフティーディスタルエンドカッター,245,衛生学一般,https://drive.google.com/file/d/14sEw1O_27c2lv_Sj76fz49cKhvIjgd0O/view?usp=drive_link
"69歳の男性。舌の疼痛を主訴として来院した。3週前から舌全体にひりひりとした痛みが生じているという。5年前から関節リウマチで治療を受けている。初診時の下顔面の写真(A)と舌の写真(B)を示す。診療録の一部と検査の結果を表に示す。
考えられるのはどれか。1つ選べ。[119D81-ori]",口腔乾燥症,Hunter 舌炎,萎縮性カンジダ症,急性骨髄性白血病,Plummer-Vinson 症候群,c,口腔外科学臨床実地,https://drive.google.com/file/d/1QdkWx5MZGTWzIhlYF4BD1DvQDlttv8b-/view?usp=drive_link
"63歳の男性。右側下唇の知覚鈍麻を主訴として来院した。1か月前から自覚し、 最近になり増悪してきたという。初診時の口腔内写真(A)、エックス線画像(B)、CT(C)、MRI T1強調像(D)、FDG- PET/CT(E)及び生検時のH-E染色病理組織像(F、G)を示す。
診断名はどれか。1つ選べ。[119D82-ori]",骨肉腫,下顎骨骨髄炎,原発性骨内癌,エナメル上皮腫,歯原性角化囊胞,c,口腔外科学臨床実地,https://drive.google.com/file/d/1XKMfRpbbjSnVrYVQKtXHd5H75FJMZq-m/view?usp=drive_link
"70歳の男性。補綴歯科治療を希望して来院した。診察の結果、⎿①②３④５⑥のレジン前装ブリッジを製作することとした。仮着したブリッジを外した後の口腔内写真(A)と装着予定のブリッジ(B)を示す。
各支台歯に対して行う前処理で正しい組合せはどれか。1つ選べ。[119D83-ori]",⎿１　ー　シランカップリング処理,⎿１　ー　フッ化物含有ペーストによる歯面清掃,⎿２　ー　クエン酸処理,⎿２　ー　アルミナサンドブラスト処理,⎿４　ー　メタルプライマーの塗布,c,冠橋義歯学臨床実地,https://drive.google.com/file/d/1EEu_TZl2Wx_sCz-Wvp-C-yiVdzeP3FAe/view?usp=drive_link
"6歳の男児。歯の変色を主訴として来院した。下顎右側中切歯は2か月前に生え始めたが、その時から変色していたという。1歳時に下顎乳前歯部外傷の既往があるという。初診時の口腔内写真(A、B)とエックス線画像(C)を示す。
１⏋への適切な対応はどれか。1つ選べ。[119D84-ori]",抜歯,歯の漂白,フッ化物塗布,アペキシフィケーション,コンポジットレジン修復,c,小児歯科学臨床実地,https://drive.google.com/file/d/1cyHSKNXSIWuhhs9ChsCbDsoyUNp8T-F4/view?usp=drive_link
児童虐待において身体的虐待はどれか。3つ選べ。[119D85-ori],顎骨骨折,口角裂傷,歯冠破折,多数歯齲蝕,口腔清掃不良,123,小児歯科学一般,https://drive.google.com/file/d/1E-a0tk6FFKszE9-uoYdazt8KNB6ssvhD/view?usp=drive_link
非吸収性縫合糸の素材となるのはどれか。2つ選べ。[119D86-ori],シルク,ポリエステル,ポリグリコール酸,ポリディオキサン,ポリグラクチン910,12,口腔外科学一般,https://drive.google.com/file/d/14uKP8GxJ7eYzWWKKjmyoNcrZUSSWs8cd/view?usp=drive_link
骨形成能を有する骨移植材はどれか。1つ選べ。[119D87-ori],異種骨,自家骨,炭酸アパタイト,リン酸三カルシウム,ハイドロキシアパタイト,b,歯科理工学一般,
"48歳の男性。下顎左側第一大臼歯の歯肉の腫脹を主訴として来院した。6年前に治療を受けたが、1か月前から歯肉が腫れてきたという。自発痛はないが咬合痛がある。プロービング深さは全周3mm以内であった。初診時の口腔内写真(A)、ガッタパーチャポイント挿入時の口腔内写真(B)及びエックス線画像(C)を示す。
診断名はどれか。1つ選べ。[119D88-ori]",急性単純性歯髄炎,急性化膿性歯髄炎,慢性潰瘍性歯髄炎,歯髄壊死,急性単純性根尖性歯周炎,8,歯内療法学臨床実地,
"54歳の女性。他院からの紹介で来院した。2週前に下顎左側第一大臼歯の修復物が脱離し、近医を受診し、歯髄保存を希望したところ当院受診を勧められたという。診察の結果、水酸化カルシウム製剤を用いた暫間的間接覆髄を行うこととし た。局所麻酔は終了している。初診時の口腔内写真(A)、エックス線画像(B)及び処置に使用する器具の写真(C)を示す。
器具を使用順に並べよ。
解答：①→②→③→④→⑤[119D89-ori]",ア,イ,ウ,エ,オ,14352,歯内療法学臨床実地,https://drive.google.com/file/d/1LyHhQSnLOmThngOLHz6BwbwOVlJr5YY7/view?usp=drive_link
"500人のある集団に対して、感度0.80の歯周病スクリーニング検査を実施したところ、真陽性者数は200人であった。この集団における歯周病の有病率を求めよ。
ただし、小数点以下第1位を四捨五入すること。
解答：①②％[119D90-ori]",,,,,,50％,衛生学一般,
